orderid   custid    itemid  pieces  datetran  
5609      40484157  42      2       29.08.2014
5610      64508447  5       10      13.12.2014
5611      62738208  57      5       16.01.2013
5612      41989732  29      6       31.05.2013
5613      62766449  15      9       12.11.2013
5614      12734446  4       2       07.03.2014
5615      40488195  35      1       21.04.2014
5616      40189929  39      8       06.05.2013
5617      65755448  59      10      24.09.2013
5618      70839948  7       8       17.12.2014
5619      67758684  42      4       30.05.2013
5620      64015513  18      3       08.07.2014
5621      25661400  41      10      09.10.2014
5622      47745916  15      9       09.01.2013
5623      12845884  20      6       02.05.2014
5624      70576521  59      6       23.06.2013
5625      47911476  49      4       13.05.2013
5626      71613498  1       8       04.08.2013
5627      15430481  19      4       23.10.2013
5628      66979641  42      1       01.04.2013
5629      43378218  39      8       07.08.2014
5630      72104279  57      5       21.03.2014
5631      47948507  44      10      16.01.2014
5632      46130110  8       2       05.04.2014
5633      42949114  22      1       30.05.2013
5634      44210973  18      2       27.01.2014
5635      40906027  51      1       30.05.2014
5636      18128149  4       4       10.10.2013
5637      49539191  22      4       09.05.2014
5638      45874689  60      10      22.09.2013
5639      15777383  23      7       26.02.2014
5640      44007132  38      8       30.07.2014
5641      67553135  51      8       17.07.2013
5642      60175982  38      3       24.08.2014
5643      47911476  34      4       22.07.2013
5644      67293557  58      3       19.08.2013
5645      66979641  44      2       07.01.2014
5646      12191485  12      8       22.04.2013
5647      43776086  16      8       21.07.2014
5648      72987898  48      10      18.04.2014
5649      14594439  9       8       09.11.2013
5650      72810483  10      7       08.11.2014
5651      49498096  30      1       03.02.2013
5652      68979711  48      10      03.02.2013
5653      43969020  53      3       13.08.2013
5654      68933089  12      10      26.03.2013
5655      48340961  5       4       15.05.2013
5656      18240607  5       2       04.12.2014
5657      65765036  60      4       26.05.2013
5658      10521453  6       8       31.10.2014
5659      44478771  13      3       10.11.2014
5660      49415433  15      2       09.07.2014
5661      40906027  53      9       09.02.2014
5662      46824596  59      10      10.03.2013
5663      61132039  16      2       24.09.2013
5664      13918630  5       9       30.05.2014
5665      65574125  32      8       26.11.2014
5666      41778952  21      1       03.06.2013
5667      13890018  15      10      10.06.2014
5668      67691943  50      8       21.05.2014
5669      15290280  15      9       07.03.2014
5670      25003232  7       3       28.02.2014
5671      18643701  33      4       28.10.2013
5672      64396606  33      1       28.11.2014
5673      68364571  10      2       27.02.2013
5674      16595998  35      9       22.04.2014
5675      41817311  42      3       19.11.2013
5676      63025086  4       6       30.10.2013
5677      41051491  1       2       28.12.2013
5678      48325201  41      5       27.02.2014
5679      12845884  44      10      29.06.2013
5680      69846081  18      4       03.07.2014
5681      68927771  22      1       19.07.2013
5682      67469968  2       3       28.11.2013
5683      65018699  58      10      21.09.2013
5684      40774805  56      1       17.04.2013
5685      42272653  60      6       09.08.2014
5686      69846081  23      5       22.05.2013
5687      14592274  41      10      03.03.2013
5688      65850548  41      9       13.10.2013
5689      42272653  60      7       11.08.2014
5690      18636322  56      4       13.03.2014
5691      44031416  57      2       25.05.2013
5692      44658419  19      10      19.05.2013
5693      49539191  58      5       26.03.2013
5694      46701541  40      5       24.05.2014
5695      12191485  4       7       04.11.2013
5696      16687981  14      3       07.12.2014
5697      67421318  24      9       29.05.2014
5698      65765036  23      5       30.08.2014
5699      66423040  30      5       17.04.2013
5700      43883991  5       7       31.12.2013
5701      65051034  7       3       15.11.2014
5702      16687981  58      2       23.11.2013
5703      64696570  25      1       15.06.2014
5704      10200509  36      8       26.08.2014
5705      15171884  31      4       04.09.2013
5706      45255920  12      9       17.10.2014
5707      46701541  39      1       03.12.2013
5708      60984074  15      3       02.01.2014
5709      67614311  18      4       24.05.2014
5710      44031416  18      3       09.03.2013
5711      64181979  30      9       28.11.2014
5712      65666968  26      7       04.07.2013
5713      41989732  1       6       09.11.2014
5714      12613533  19      4       11.09.2014
5715      16619072  32      2       17.08.2014
5716      60061227  6       8       23.11.2014
5717      16053648  28      8       20.07.2013
5718      11512857  54      8       19.09.2013
5719      40847781  54      3       12.08.2014
5720      45312281  48      8       04.07.2014
5721      16571002  19      9       25.02.2013
5722      14539888  44      4       31.10.2014
5723      60733667  39      1       24.05.2014
5724      62648756  46      3       23.04.2013
5725      63436680  41      9       19.06.2013
5726      60894865  42      1       01.11.2014
5727      68469519  29      9       14.12.2014
5728      49507559  58      1       01.11.2013
5729      62449893  44      8       10.09.2014
5730      68001975  47      4       07.10.2014
5731      64977544  52      3       30.11.2014
5732      16114299  52      3       15.03.2013
5733      72104279  27      9       18.01.2013
5734      62967991  36      7       27.12.2014
5735      41473167  30      8       01.06.2014
5736      72104279  31      10      06.02.2013
5737      69921172  58      10      06.04.2013
5738      43158048  49      1       03.05.2013
5739      47802707  28      5       14.09.2014
5740      48921441  60      1       07.03.2013
5741      64559238  16      5       19.01.2013
5742      63775794  8       1       03.10.2013
5743      41881222  51      3       25.05.2014
5744      18510396  51      4       28.08.2014
5745      47090022  44      1       01.01.2013
5746      48493864  32      6       17.11.2014
5747      47555921  11      7       01.11.2013
5748      66401488  14      5       02.08.2014
5749      72118911  57      1       07.08.2013
5750      49310569  28      1       14.07.2014
5751      00533882  17      3       03.11.2014
5752      16631854  2       10      15.05.2013
5753      66026067  38      7       27.03.2014
5754      49631501  19      1       22.02.2013
5755      14952165  48      6       12.05.2014
5756      60240440  48      1       26.12.2013
5757      49451316  59      9       12.12.2014
5758      49537539  48      1       18.04.2014
5759      70298084  3       1       23.08.2014
5760      67321917  5       8       29.08.2014
5761      47745916  30      9       12.08.2013
5762      15229611  22      7       26.06.2014
5763      42272653  57      4       21.05.2013
5764      66239010  10      4       19.10.2014
5765      66910234  35      2       03.03.2014
5766      25884824  5       6       04.11.2013
5767      43883991  38      3       09.05.2013
5768      63238373  39      1       13.07.2014
5769      67336965  7       2       31.03.2014
5770      16527691  54      1       14.03.2014
5771      11424052  45      1       19.01.2014
5772      66026067  29      10      02.11.2013
5773      13212095  3       2       22.07.2013
5774      15290280  10      6       04.12.2014
5775      64181979  31      5       28.08.2014
5776      64828255  2       6       17.10.2013
5777      66979641  41      10      13.09.2014
5778      42107598  38      10      19.11.2013
5779      25164724  39      1       06.10.2014
5780      48151513  52      8       12.02.2014
5781      43700055  55      3       11.12.2014
5782      19000553  38      1       26.06.2013
5783      63189151  9       1       30.07.2013
5784      65646207  33      8       07.08.2014
5785      14737001  49      10      20.09.2013
5786      16114299  55      8       25.02.2014
5787      68001975  38      2       11.03.2013
5788      44402856  6       2       06.05.2014
5789      47651075  3       3       24.03.2014
5790      49247760  43      5       29.07.2014
